city,date,fare,ride_id
New Jacobville,2/9/19 2:17,7.11,3860000000000
Lake Jonathanshire,4/7/19 20:51,31.25,4440000000000
Port David,3/17/19 14:42,33.11,1030000000000
Martinezhaven,2/20/19 19:32,13.34,2760000000000
Port Frank,4/19/19 19:35,26.47,6720000000000
Valentineton,3/2/19 14:44,39.77,6770000000000
Hurleymouth,3/3/19 11:28,36.31,167000000000
Carriemouth,2/25/19 8:26,32.37,6920000000000
Port Samanthamouth,4/16/19 18:34,9.2,8710000000000
Williamsstad,1/23/19 17:51,19.62,126000000000
Royland,1/7/19 2:23,24.5,3620000000000
New Jacobville,1/5/19 5:02,34.11,2830000000000
Roberthaven,3/6/19 22:56,12.38,3370000000000
South Evanton,1/7/19 18:47,43.61,9120000000000
New Paulton,5/3/19 12:09,21.67,9090000000000
Karenberg,3/11/19 17:26,36.15,7800000000000
Rodneyfort,1/30/19 12:34,16.99,5780000000000
East Kaylahaven,4/4/19 2:35,23.18,57422927996
Huntermouth,2/19/19 3:19,7.05,1620000000000
Barajasview,1/23/19 13:23,37.68,4110000000000
Williamsstad,3/29/19 21:43,35.58,4750000000000
North Jason,3/8/19 20:06,25.21,3180000000000
Christopherfurt,4/17/19 2:25,23.3,7820000000000
Liumouth,1/11/19 17:15,36.78,1460000000000
Johnton,1/17/19 2:12,32.19,8530000000000
West Angela,3/8/19 1:08,41.06,6200000000000
Jerryton,1/4/19 16:38,37.2,5640000000000
Erikaland,2/18/19 7:47,20.62,3290000000000
North Jason,2/7/19 7:27,20,474000000000
Lake Scottton,5/5/19 11:21,18.77,405000000000
Simpsonburgh,3/22/19 8:56,22.05,3500000000000
Raymondhaven,3/12/19 6:59,16.98,6450000000000
West Robert,4/5/19 3:18,44.58,4250000000000
North Jason,3/18/19 10:10,6.41,2870000000000
Port Samanthamouth,1/23/19 9:08,35.51,3120000000000
West Robert,1/21/19 17:21,27.11,1370000000000
Jerryton,1/5/19 15:36,37.91,1590000000000
Port Samanthamouth,2/3/19 7:07,18.03,9290000000000
Liumouth,1/15/19 7:55,14.55,4380000000000
West Heidi,4/3/19 3:16,24.76,1820000000000
Loganberg,1/21/19 16:26,22.86,1950000000000
Grahamburgh,2/17/19 9:54,30.25,4050000000000
Raymondhaven,5/6/19 23:22,25.76,8720000000000
Karenside,1/25/19 15:35,14.52,2650000000000
Port Frank,4/6/19 21:38,18.08,5470000000000
Leahton,4/2/19 17:39,22.76,5810000000000
Port Samanthamouth,4/22/19 3:32,29.67,3150000000000
Jerryton,4/13/19 21:47,32.08,8500000000000
West Patrickchester,3/7/19 15:47,23.66,3070000000000
West Samuelburgh,3/3/19 16:07,27.48,101000000000
North Markport,3/31/19 13:58,29.41,3090000000000
West Angela,3/10/19 11:23,27.1,1370000000000
Grahamburgh,3/12/19 2:44,22.97,4900000000000
South Michelleport,1/8/19 9:38,23.77,4920000000000
East Kaylahaven,4/2/19 7:05,9.67,2090000000000
South Karenland,4/22/19 21:37,22.86,6730000000000
Lake Danielberg,2/24/19 12:05,9.63,9150000000000
Justinberg,4/26/19 8:41,8.83,1820000000000
Karenberg,4/29/19 20:54,28.41,9050000000000
South Phillip,2/9/19 16:46,7.89,3200000000000
North Madeline,4/5/19 18:23,29.69,241000000000
New Kimberlyborough,5/1/19 13:56,22.59,9250000000000
South Jack,4/24/19 19:33,38.04,2200000000000
Erikaland,3/11/19 2:19,27.39,132000000000
New Paulville,3/27/19 2:18,7.29,7050000000000
Hurleymouth,3/26/19 20:22,41.15,4710000000000
Liumouth,4/12/19 3:38,43.34,7860000000000
Deanville,5/1/19 21:53,8.28,593000000000
Karenside,4/2/19 19:22,41.93,4090000000000
West Angela,1/30/19 18:08,19.13,2080000000000
Liumouth,2/1/19 20:17,24.81,5470000000000
Jerryton,3/27/19 12:48,13.29,8960000000000
South Phillip,5/4/19 9:10,28.3,8700000000000
Port Johnbury,4/27/19 16:22,25.67,2750000000000
Raymondhaven,2/8/19 23:57,5.7,3930000000000
Port David,3/7/19 18:37,42.04,9910000000000
Robertport,3/6/19 9:51,6.73,9680000000000
Loganberg,3/16/19 11:46,23.99,9490000000000
Karenside,4/19/19 10:17,36.01,1320000000000
Lake Jonathanshire,3/9/19 23:45,19.89,2390000000000
Pattyland,1/30/19 12:35,8.57,4690000000000
West Robert,4/13/19 6:56,32.94,9600000000000
Justinberg,4/12/19 5:27,17.03,8370000000000
West Josephberg,2/9/19 14:07,4.42,8300000000000
North Markport,1/21/19 11:49,27.68,4560000000000
Williamsview,1/9/19 15:24,44.46,2200000000000
Raymondhaven,2/1/19 5:51,13.86,8720000000000
South Latoya,2/12/19 16:32,30.22,7390000000000
Deanville,3/29/19 4:07,5.32,2610000000000
Amandaburgh,3/5/19 2:15,26.28,907000000000
Jerryton,1/27/19 14:46,29.08,6160000000000
Deanville,3/24/19 0:26,30.55,5280000000000
West Anthony,1/23/19 12:32,23.24,597000000000
West Anthony,2/24/19 6:14,39.2,8490000000000
West Heidi,3/30/19 10:46,22.41,1710000000000
Royland,1/1/19 3:46,7.57,5820000000000
South Latoya,3/2/19 6:06,10.35,338000000000
Johnton,1/8/19 17:33,43.75,195000000000
West Angela,1/30/19 18:46,32.31,7290000000000
Rodneyfort,1/8/19 0:29,29.4,1180000000000
Royland,1/2/19 20:08,10.19,668000000000
New Paulville,1/31/19 5:32,20.8,1090000000000
Huntermouth,4/9/19 20:23,35.11,3010000000000
New Paulville,1/30/19 15:21,7.02,8500000000000
Justinberg,5/3/19 2:49,36.06,930000000000
Port Angela,3/31/19 15:22,30.77,662000000000
Port Angela,4/9/19 14:34,11.9,7010000000000
Christopherfurt,1/5/19 22:21,33.51,1900000000000
South Michelleport,4/22/19 3:15,43.62,4660000000000
Williamsstad,2/13/19 20:07,33.72,3800000000000
Lake Jonathanshire,4/7/19 18:09,24.28,7800000000000
Robertport,3/20/19 19:11,20.21,9630000000000
Port Angela,2/8/19 16:30,30.38,5170000000000
Barajasview,2/8/19 18:07,24.49,2610000000000
South Evanton,1/24/19 7:08,17.83,3000000000000
Lake Danielberg,2/13/19 11:01,43.96,100000000000
Royland,4/19/19 0:05,25.4,9850000000000
Rodneyfort,2/8/19 7:35,30.02,2500000000000
East Kaylahaven,1/17/19 10:15,40.82,6340000000000
West Christopherberg,1/17/19 14:30,9.04,5150000000000
New Jacobville,1/15/19 15:27,27.24,3810000000000
Lake Jonathanshire,1/2/19 14:14,13.89,424000000000
Port Samanthamouth,4/25/19 9:50,25.5,1170000000000
West Heidi,3/26/19 9:45,22.33,826000000000
Karenside,4/14/19 5:11,13.13,3660000000000
Valentineton,2/1/19 14:11,9.68,2130000000000
Raymondhaven,2/23/19 11:13,4.24,294000000000
Carriemouth,3/11/19 21:35,16.78,1520000000000
West Josephberg,1/16/19 16:17,7.04,2510000000000
Port Samanthamouth,3/1/19 8:58,43.25,1390000000000
Karenberg,3/30/19 11:38,24.64,4540000000000
New Paulton,3/10/19 1:07,28,1070000000000
Joneschester,2/7/19 18:36,6.34,2610000000000
North Jasmine,2/8/19 19:03,4.86,1280000000000
Valentineton,2/27/19 0:40,25.4,6150000000000
New Paulton,2/20/19 16:59,24.29,7740000000000
South Evanton,4/28/19 8:15,22.86,7590000000000
North Jasmine,1/22/19 17:25,31.68,712000000000
West Anthony,3/17/19 0:30,35.42,4560000000000
Jerryton,4/29/19 2:49,41.27,903000000000
Grahamburgh,1/9/19 7:00,13.55,5460000000000
South Jack,3/30/19 20:21,4.2,4820000000000
West Christopherberg,1/23/19 21:23,30.93,5340000000000
Lake Scottton,3/26/19 0:49,9.79,1830000000000
West Patrickchester,1/14/19 1:15,24.82,5930000000000
Royland,1/17/19 14:08,27.92,3150000000000
South Karenland,2/14/19 14:00,39.53,2860000000000
Erikaland,3/27/19 13:11,36.52,2200000000000
Rodneyfort,3/20/19 10:40,42.57,6350000000000
Williamsstad,5/1/19 1:26,26.81,4540000000000
Richardfort,2/13/19 12:46,14,910000000000
West Ericstad,1/25/19 12:29,20.03,3280000000000
Grahamburgh,3/5/19 5:39,4.33,804000000000
North Barbara,5/4/19 2:33,24.09,9280000000000
West Robert,1/4/19 6:10,35.35,9550000000000
Justinberg,3/14/19 10:46,36.32,6770000000000
South Michelleport,3/3/19 16:13,41.62,2340000000000
North Jasmine,2/22/19 1:56,25.33,1320000000000
Barajasview,3/1/19 11:06,28.25,7230000000000
Carriemouth,4/4/19 13:22,12.91,4280000000000
Amandaburgh,2/24/19 23:10,43.66,6570000000000
Johnton,3/27/19 0:10,18.89,3630000000000
Port Angela,3/4/19 3:26,40.35,4930000000000
Rodneyfort,5/6/19 22:21,27.16,3770000000000
Amandaburgh,2/10/19 20:42,36.17,6460000000000
North Madeline,2/25/19 4:32,13.58,4930000000000
West Angela,3/1/19 11:13,30.3,9670000000000
Joneschester,1/3/19 5:45,25.47,5540000000000
Joneschester,1/3/19 1:03,17.97,5440000000000
South Phillip,1/29/19 11:26,35.23,7420000000000
Liumouth,3/30/19 3:13,4.66,3160000000000
West Anthony,1/10/19 2:31,32.34,1480000000000
North Jason,2/26/19 11:57,13.88,2490000000000
North Jason,3/21/19 9:45,10.42,6600000000000
Carriemouth,4/28/19 14:28,11.46,6990000000000
Huntermouth,5/4/19 15:20,36.77,7190000000000
South Phillip,4/18/19 6:03,39.95,9720000000000
South Jack,2/1/19 22:32,28.37,3370000000000
Port Johnbury,5/5/19 6:26,25.3,2540000000000
South Phillip,5/6/19 5:05,43.43,2440000000000
North Jasmine,4/10/19 11:45,38.24,2960000000000
South Michelleport,1/27/19 19:38,15.45,7470000000000
North Madeline,4/7/19 8:54,32.99,1820000000000
Christopherfurt,2/24/19 2:56,40.33,9580000000000
Williamsstad,2/23/19 17:42,4.68,9110000000000
Martinezhaven,4/18/19 1:40,34.7,2020000000000
Simpsonburgh,4/3/19 8:47,4.74,8560000000000
New Jacobville,2/4/19 4:57,27.63,4330000000000
South Karenland,2/12/19 3:42,5.78,8890000000000
Royland,1/27/19 1:01,24.56,9660000000000
Karenside,1/22/19 13:11,24.72,5330000000000
West Robert,5/5/19 5:18,10.15,9390000000000
Port Samanthamouth,4/27/19 8:48,12.84,5660000000000
West Samuelburgh,3/7/19 1:51,14.55,7160000000000
New Kimberlyborough,3/29/19 20:35,42.51,8300000000000
Port David,3/27/19 11:56,15.64,5340000000000
Karenside,3/18/19 12:48,36.96,7610000000000
New Paulton,2/8/19 17:11,39.65,8510000000000
West Ericstad,1/8/19 9:03,32.99,6690000000000
Port Johnbury,3/21/19 2:20,32.8,5450000000000
Port Samanthamouth,3/27/19 0:31,16.05,1410000000000
Port Frank,1/8/19 23:51,42.13,2100000000000
Lake Jonathanshire,4/6/19 11:30,16.84,6160000000000
West Angela,2/5/19 18:53,36.37,7830000000000
Port Samanthamouth,3/27/19 1:08,21.46,9990000000000
North Madeline,3/4/19 17:20,21.38,9540000000000
Williamsview,1/15/19 0:10,44.33,4630000000000
Grahamburgh,2/21/19 6:55,22.65,816000000000
South Evanton,3/6/19 3:56,30.87,5810000000000
Loganberg,3/27/19 13:32,4.72,6120000000000
Carriemouth,2/21/19 16:38,44.18,4530000000000
Port David,1/2/19 11:51,7.45,6150000000000
West Heidi,1/30/19 12:59,30.84,8940000000000
Williamsstad,3/5/19 2:33,25.02,1310000000000
North Barbara,2/4/19 8:12,42.59,4970000000000
Lake Danielberg,3/17/19 19:23,10.18,4710000000000
North Markport,4/13/19 7:37,20.09,4310000000000
Port Angela,5/2/19 4:14,35.76,7950000000000
Port Samanthamouth,3/15/19 15:08,25.97,7730000000000
West Angela,5/3/19 9:04,24.07,7810000000000
Leahton,2/21/19 20:37,24.13,6760000000000
North Markport,4/28/19 4:34,40.46,2570000000000
Karenside,3/9/19 3:50,40.86,1760000000000
Jerryton,1/7/19 12:05,7.86,707000000000
South Michelleport,4/14/19 1:20,37.93,1530000000000
Valentineton,3/25/19 20:45,22.53,2340000000000
East Kaylahaven,4/9/19 16:57,10.03,8040000000000
Erikaland,4/13/19 12:26,25.22,4850000000000
West Christopherberg,1/8/19 8:25,37.78,8770000000000
Pattyland,2/1/19 22:43,32.03,2850000000000
Deanville,2/8/19 23:33,21.22,4790000000000
West Christopherberg,3/21/19 0:14,43.87,5090000000000
Justinberg,3/23/19 6:28,30.58,3500000000000
Lake Danielberg,2/24/19 19:34,34.82,2440000000000
Port Samanthamouth,1/30/19 1:19,38.78,6120000000000
Lake Danielberg,2/28/19 15:08,44.96,6320000000000
Deanville,4/15/19 1:36,24.3,1070000000000
Pattyland,2/15/19 15:13,44.03,1560000000000
Karenside,1/27/19 8:52,7.65,473000000000
Port Angela,4/22/19 16:43,7.91,6770000000000
West Angela,4/14/19 18:40,32.77,5000000000000
South Karenland,3/26/19 6:12,35.5,1480000000000
New Jacobville,2/18/19 21:09,39.97,8030000000000
Roberthaven,3/14/19 16:12,36.84,4120000000000
Lake Scottton,4/24/19 11:54,5.31,9670000000000
Amandaburgh,1/11/19 2:22,29.24,7280000000000
Reynoldsfurt,5/5/19 17:38,14.95,1400000000000
West Patrickchester,2/9/19 5:54,16.1,9110000000000
Christopherfurt,4/13/19 8:29,37.22,3290000000000
South Evanton,4/27/19 0:58,27.78,9380000000000
Lake Scottton,2/7/19 5:08,10.76,4200000000000
Roberthaven,3/14/19 15:24,35.27,4030000000000
Rodneyfort,3/4/19 15:13,28.69,276000000000
West Josephberg,2/17/19 6:28,41.49,2820000000000
Lake Jonathanshire,3/21/19 0:18,37.95,8350000000000
Simpsonburgh,2/5/19 16:02,25.58,2040000000000
West Heidi,3/19/19 3:15,5.65,2470000000000
North Barbara,3/23/19 20:59,23.76,5550000000000
North Jasmine,3/11/19 21:03,37.93,4220000000000
West Gabriel,4/29/19 1:22,36.7,4100000000000
Liumouth,4/14/19 6:43,31.63,6170000000000
Carriemouth,3/2/19 15:40,28.04,5140000000000
West Robert,3/24/19 15:21,34.9,9470000000000
North Jasmine,5/2/19 10:24,29.86,3200000000000
Carriemouth,3/21/19 15:40,44.64,9560000000000
Lake Scottton,2/15/19 6:49,22.75,8380000000000
North Madeline,4/12/19 13:57,7.77,9270000000000
Lake Danielberg,1/7/19 9:41,17.39,4360000000000
North Madeline,4/30/19 16:02,37.48,2510000000000
Port David,1/7/19 20:03,20.49,5850000000000
Royland,2/11/19 3:46,30.41,7200000000000
West Samuelburgh,2/20/19 1:05,19.65,6620000000000
West Angela,3/18/19 12:08,34.05,5330000000000
West Patrickchester,3/6/19 4:19,32.37,3680000000000
Port Frank,2/5/19 10:34,20.1,4440000000000
New Kimberlyborough,2/9/19 5:48,39.55,6010000000000
Justinberg,4/20/19 7:37,29.07,210000000000
West Angela,4/18/19 12:07,16.18,5770000000000
Justinberg,3/10/19 9:19,37.89,5560000000000
Valentineton,1/10/19 17:29,19.91,775000000000
Williamsview,4/7/19 0:32,18.92,23948941587
South Jack,1/31/19 2:51,21.75,6970000000000
Port Frank,2/18/19 18:49,39.06,7300000000000
Leahton,2/13/19 11:40,16.79,4740000000000
South Michelleport,2/22/19 7:44,22.52,8520000000000
South Karenland,4/25/19 14:44,24.86,1310000000000
Richardfort,2/16/19 13:52,17.92,821000000000
Williamsstad,4/16/19 23:07,23.12,969000000000
South Michelleport,2/12/19 7:41,27.7,5580000000000
West Patrickchester,4/13/19 19:49,33.33,1830000000000
Martinezhaven,4/18/19 18:37,5.81,2120000000000
North Jason,1/23/19 22:51,21.95,6700000000000
North Jason,4/18/19 12:19,22.42,4930000000000
Lake Scottton,5/3/19 22:33,9.01,1290000000000
West Christopherberg,3/1/19 21:33,11.97,6420000000000
North Markport,4/10/19 22:15,38.02,8830000000000
Christopherfurt,4/9/19 0:32,29.96,9830000000000
North Madeline,1/29/19 16:12,17.57,2600000000000
Richardfort,2/1/19 20:18,10.26,9550000000000
South Phillip,1/25/19 5:04,38.15,3600000000000
East Kaylahaven,2/11/19 0:24,43.19,8670000000000
Rodneyfort,4/11/19 2:57,36.3,9050000000000
Pattyland,4/26/19 8:31,19.99,8830000000000
South Karenland,3/24/19 23:37,41.44,605000000000
Port David,3/24/19 21:58,28.84,5270000000000
Rodneyfort,3/10/19 5:23,29.13,4630000000000
New Paulton,2/2/19 16:37,17.19,8500000000000
Williamsstad,3/12/19 1:39,18.67,2160000000000
South Michelleport,1/29/19 20:40,9.79,5530000000000
West Christopherberg,3/21/19 2:57,21.41,7700000000000
Lake Scottton,3/25/19 21:46,36.92,7040000000000
Port Angela,3/19/19 12:32,17.21,1690000000000
Christopherfurt,4/17/19 22:12,32.39,654000000000
Joneschester,2/27/19 8:19,33.34,2390000000000
Loganberg,1/25/19 1:59,26.03,9120000000000
South Phillip,2/19/19 13:19,33.07,8520000000000
Deanville,1/23/19 13:00,42.45,7290000000000
New Kimberlyborough,1/30/19 21:46,29.09,8590000000000
Port Johnbury,4/11/19 10:26,9.1,7800000000000
West Patrickchester,4/19/19 3:26,44.5,8640000000000
West Robert,1/11/19 11:10,5.16,1590000000000
New Paulton,3/28/19 3:35,14.94,3700000000000
South Latoya,3/19/19 16:19,31.72,364000000000
Robertport,2/18/19 15:01,43.47,8000000000000
Valentineton,1/19/19 19:40,6.71,9050000000000
South Latoya,1/18/19 20:09,10.98,7140000000000
Simpsonburgh,1/12/19 4:35,24.83,3150000000000
West Patrickchester,2/12/19 16:33,22.64,4550000000000
Richardfort,4/17/19 2:26,23,720000000000
Hurleymouth,2/20/19 10:47,17.07,7020000000000
Leahton,1/27/19 8:09,29.36,2920000000000
West Anthony,4/29/19 1:12,27.04,4380000000000
New Kimberlyborough,1/5/19 9:33,39.47,2810000000000
South Latoya,3/19/19 22:03,40.29,660000000000
Williamsstad,4/12/19 12:30,17.57,7100000000000
South Karenland,2/1/19 19:45,31.64,9380000000000
North Jason,4/16/19 15:23,24.07,9730000000000
West Angela,1/27/19 9:35,9.24,2620000000000
Lake Danielberg,2/8/19 5:58,10.31,2460000000000
Port Samanthamouth,4/6/19 13:42,24.18,8480000000000
New Jacobville,2/9/19 2:25,37.51,5690000000000
New Kimberlyborough,3/10/19 13:55,10.83,1560000000000
New Kimberlyborough,1/8/19 18:59,13.34,627000000000
Karenberg,3/5/19 1:38,44.1,9230000000000
South Phillip,4/11/19 10:09,21.06,4830000000000
Loganberg,1/20/19 1:34,38.66,7240000000000
Carriemouth,5/1/19 4:53,10.97,8790000000000
West Patrickchester,1/21/19 14:48,19.44,2090000000000
Martinezhaven,2/7/19 21:45,4.31,9330000000000
Karenside,1/8/19 8:49,22.64,2410000000000
North Jason,3/24/19 7:40,32.72,7960000000000
Lake Danielberg,3/28/19 9:56,28.53,9810000000000
Pattyland,4/3/19 3:29,14.06,5400000000000
Pattyland,2/21/19 17:53,7.06,5810000000000
Loganberg,1/11/19 4:27,44.34,1380000000000
Leahton,2/28/19 13:10,9.08,8200000000000
Reynoldsfurt,1/17/19 21:35,24.84,5000000000000
Raymondhaven,2/22/19 23:54,7.64,7310000000000
South Latoya,2/12/19 22:59,5.54,840000000000
Lake Scottton,1/18/19 2:32,31.92,5710000000000
Port David,2/24/19 22:20,35.63,3350000000000
Roberthaven,4/5/19 14:01,31.09,1020000000000
Rogerston,3/24/19 2:56,39.6,9200000000000
Karenberg,4/27/19 14:57,44.73,3800000000000
Martinezhaven,4/14/19 16:26,32.57,971000000000
South Evanton,1/20/19 23:10,25.94,3430000000000
North Jasmine,4/26/19 12:08,35.33,6860000000000
Hurleymouth,1/12/19 1:19,10.64,8130000000000
West Robert,3/7/19 15:57,12.22,2710000000000
Deanville,4/21/19 23:32,33.37,7760000000000
South Michelleport,1/9/19 1:48,10.68,3240000000000
Royland,2/2/19 12:51,42.52,7840000000000
Rodneyfort,4/10/19 23:38,25.4,9060000000000
North Madeline,1/12/19 9:42,20.82,8110000000000
Lake Danielberg,4/28/19 4:00,39.82,7890000000000
Port Johnbury,5/2/19 12:46,42.42,3250000000000
Richardfort,4/21/19 3:44,9.54,3700000000000
Liumouth,3/22/19 4:06,33.1,3680000000000
Roberthaven,1/21/19 19:25,23.14,4940000000000
Amandaburgh,1/21/19 4:12,9.26,5530000000000
South Evanton,4/25/19 0:37,26.84,1540000000000
Port Samanthamouth,3/25/19 13:20,34.94,822000000000
South Michelleport,3/13/19 4:21,10.44,5680000000000
North Madeline,1/14/19 3:43,31.88,8710000000000
Hurleymouth,3/17/19 6:50,29.95,5230000000000
Port David,4/10/19 14:27,26.68,5360000000000
Pattyland,2/10/19 2:55,24.39,7260000000000
Liumouth,3/17/19 19:21,19.05,9120000000000
Robertport,4/3/19 1:20,15.14,6670000000000
Hurleymouth,4/1/19 6:26,9.94,4060000000000
West Samuelburgh,4/17/19 11:25,15.03,4020000000000
South Phillip,3/18/19 4:11,17.57,8430000000000
West Josephberg,1/29/19 2:13,7.58,6140000000000
Roberthaven,2/16/19 10:23,14.95,6650000000000
West Christopherberg,3/27/19 23:57,21.55,2200000000000
Christopherfurt,3/30/19 13:15,31.3,7460000000000
Hurleymouth,2/1/19 3:23,22.39,6070000000000
Port Frank,3/16/19 20:54,30.24,1450000000000
Lake Danielberg,1/16/19 11:59,20.07,8450000000000
West Ericstad,3/28/19 13:29,22.28,3140000000000
Karenside,3/11/19 16:18,44.29,3270000000000
South Evanton,3/17/19 0:31,36.31,2780000000000
West Heidi,5/5/19 15:47,37.75,3650000000000
Robertport,2/28/19 22:50,13.39,681000000000
South Jack,1/5/19 11:31,13.14,6810000000000
West Josephberg,2/28/19 18:19,11.1,3530000000000
Port Frank,3/26/19 19:09,28.83,890000000000
Barajasview,2/19/19 2:25,26.83,937000000000
Justinberg,1/3/19 22:50,5.81,9260000000000
North Barbara,4/17/19 2:49,39.18,3500000000000
West Angela,3/8/19 13:24,4.92,5450000000000
South Latoya,3/19/19 7:54,30.03,9560000000000
Hurleymouth,1/18/19 10:59,4.66,8620000000000
Johnton,4/5/19 7:12,22.87,1030000000000
Carriemouth,3/27/19 2:11,38.69,4410000000000
Reynoldsfurt,4/19/19 0:56,13.63,7990000000000
Christopherfurt,3/16/19 19:46,19.61,2290000000000
Liumouth,4/28/19 0:26,5.42,8030000000000
New Kimberlyborough,3/19/19 7:17,15.78,6410000000000
Martinezhaven,3/7/19 12:26,23.55,7390000000000
East Kaylahaven,4/6/19 16:17,35.79,8930000000000
Simpsonburgh,4/26/19 9:31,33.71,2600000000000
Lake Jonathanshire,1/28/19 0:07,5.67,9760000000000
Robertport,4/19/19 19:45,39.57,3970000000000
South Karenland,3/20/19 10:34,33.24,3100000000000
Raymondhaven,3/7/19 20:59,17.66,9260000000000
Port David,2/18/19 14:47,20.16,1850000000000
Royland,2/20/19 19:14,38.28,3620000000000
East Kaylahaven,1/29/19 7:28,41.62,7160000000000
Valentineton,2/23/19 11:46,19.99,9660000000000
Martinezhaven,3/12/19 10:02,21.18,4050000000000
South Phillip,2/19/19 20:47,28.62,4410000000000
Royland,5/4/19 2:54,15.14,4990000000000
West Heidi,2/5/19 19:24,24.32,426000000000
East Kaylahaven,2/28/19 16:46,33.72,1220000000000
New Kimberlyborough,4/3/19 16:27,14.73,9080000000000
South Karenland,1/10/19 23:48,37.58,7170000000000
Richardfort,2/3/19 0:14,29.04,4980000000000
Justinberg,3/10/19 5:15,22.43,5550000000000
Huntermouth,3/21/19 8:44,32.42,3390000000000
Roberthaven,3/22/19 4:19,34.69,1770000000000
West Heidi,3/11/19 16:10,43.45,4650000000000
Raymondhaven,2/17/19 2:06,39.7,3250000000000
Karenside,4/16/19 23:13,39.32,3160000000000
Rogerston,3/16/19 20:49,43.82,4720000000000
Port Johnbury,4/28/19 16:29,36.42,274000000000
West Josephberg,1/18/19 12:47,43.85,9650000000000
North Jasmine,2/5/19 22:28,19.21,6790000000000
Loganberg,4/10/19 4:59,35.97,8830000000000
